City,Lat,Lon
Waduk Pondok,-7.40717,111.56233
Taman Wisata Tawun,-7.39678,111.49176
Museum Trinil,-7.37409,111.35884
Benteng Van Den Bosch,-7.38992,111.45528
Monumen Suryo,-7.37831,111.28501
Waduk Sangiran,-7.41509,111.61226
Kebun Teh Jamus,-7.56149,111.18453
MUSEUM DR. KRT. RADJIMAN WIDIYODININGRAT,-7.40702,111.20352
Srambang Park Waterfall Ngawi,-7.57111,111.22607
Air Terjun Pengantin,-7.54576,111.2104
Ketanggung,-7.46157,111.14727
Taman Wisata Tirtonirmolo Waterpark,-7.46652,111.43055
Kolam Renang Hargo Dumilah,-7.52168,111.23658
Kolam Renang onggojoyo,-7.50281,111.20817
Omah Watu Ngroto,-7.54583,111.19615
Gunung Warak,-7.50517,111.17732
Palereman Alas Ketonggo Srigati,-7.5049,111.32778
Selo Ondo Camping Camp And Swimming Pool,-7.56816,111.24973
Wisata Watu Jonggol,-7.55406,111.16839
Air Terjun Suwono,-7.55239,111.20194
Kolam Renang Banyu Redjo Park,-7.41242,111.31949
Reco Banteng,-7.46013,111.28539
Museum Kampoeng Motor dan Kolam Renang Cak Soen,-7.46034,111.41875
Embung Kuniran,-7.50229,111.16492
Pariwisata wonosari,-7.5637,111.16597
